Kabupaten,"Produktivitas padi 
(ku/ha) ","Lahan yang terdampak
 OPT (ha)","Realisasi Penyaluran Pupuk 
NPK Bersubsid (Ton)",Rata-rata suhu (°C),Curah Hujan (mm),Bantuan Alsitan (Unit)
,,,,,,
,,,,,,
Aceh,55,"3,131.10","78,269",31.62,133.30,2912
Sumatera Utara,53,1784.78,"191,450",30.12,119.41,2644
Sumatera Barat,46,1213.08,"106,295",29.32,252.62,1123
Riau,39,1421.55,"6,830",30.73,219.23,1050
Jambi,46,416.91,"25,972",28.57,89.20,1717
Sumatera Selatan,56,"3,593.81","150,440",31.77,94.67,2875
Bengkulu,49,794,"38,244",30.70,174.23,438
Lampung,53,1667.82,"318,577",31.22,119.12,3650
Kep. Bangka Belitung,43,198.8,"3,845",30.90,107.97,251
Kepulauan Riau,26.92,0.21,469,30.75,110.47,5
DKI Jakarta,46.29,1.8,30,31.30,142.45,24
Jawa Barat,58,"14,921.00","367,985",28.66,111.50,10144
Jawa Tengah,57,"10,891.42","562,944",30.95,180.68,6230
D.I Yogyakarta,47,874,"30,136",30.27,106.67,187
Jawa Timur,57,"3,651.56","749,809",30.28,135.59,5463
Banten,52,1587,"43,464",31.30,119.03,2969
Bali,61,1113.17,"24,452",30.80,117.73,195
Nusa Tenggara Barat,52,1096.9,"150,265",30.78,92.42,4495
Nusa Tenggara Timur,42,1187.81,"29,930",30.69,101.94,3488
Kalimantan Barat,31,1639.45,"85,393",30.72,125.68,2291
Kalimantan Tengah,33,858.75,"13,827",30.76,152.30,825
Kalimantan Selatan,42,101.19,"41,521",31.50,158.80,1316
Kalimantan Timur,40,1423.42,"15,605",30.70,139.47,771
Kalimantan Utara,36,60.07,"3,891",29.92,106.10,677
Sulawesi Utara,46,363.88,"18,904",29.92,144.36,560
Sulawesi Tengah,44,"2,854.20","51,783",31.38,115.82,771
Sulawesi Selatan,51,"3,228.57","297,177",30.20,155.25,8328
Sulawesi Tenggara,43,"3,917.00","37,215",31.28,109.15,1318
Gorontalo,50,999.43,"45,915",30.60,101.65,1172
Sulawesi Barat,50,1731.81,"32,434",30.70,127.90,564
Maluku,38,935,"3,733",30.91,136.81,423
Maluku Utara,33,198.25,"1,864",29.95,127.45,315
Papua Barat,40,218.9,"2,461",30.88,139.05,17
Papua Barat Daya,27.17,0,0,29.70,150.70,38
Papua,43,34.93,"11,735",30.98,116.74,218
Papua Selatan,46.17,0,0,30.87,142.47,931
Papua Tengah,42.28,0,0,28.43,119.50,87
Papua Pegunungan,43.87,0,0,22.60,40.60,39